D test LRT 
1 causal 11.28464 
1 causal 6.16232 
1 causal 19.04549 
1 causal 23.09202 
1 causal 9.363446 
1 causal 2.695711 
1 causal 21.84658 
1 causal 10.62987 
1 causal 20.91745 
1 causal 11.52364 
1 causal 11.57807 
1 causal 21.78968 
1 causal 19.80028 
1 causal 6.433805 
1 causal 7.486359 
1 causal 17.59562 
1 causal 40.08674 
1 causal 18.89812 
1 causal 14.07443 
1 causal 15.83261 
1 causal 14.44319 
1 causal 4.058305 
1 causal 4.218224 
1 causal 10.83757 
1 causal 32.11727 
1 causal 9.066233 
1 causal 30.90824 
1 causal 18.50131 
1 causal 17.8324 
1 causal 6.815856 
1 causal 19.19696 
1 causal 1.892122 
1 causal 31.45854 
1 causal 4.704294 
1 causal 19.19263 
1 causal 13.77735 
1 causal 18.51293 
1 causal 7.338458 
1 causal 9.140104 
1 causal 34.99516 
1 causal 2.825071 
1 causal 21.77632 
1 causal 16.39766 
1 causal 11.64102 
1 causal 15.03686 
1 causal 20.43014 
1 causal 4.32742 
1 causal 38.34766 
1 causal 14.9719 
1 causal 10.04057 
1 causal 21.90262 
1 causal 9.72481 
1 causal 25.98547 
1 causal 15.10355 
1 causal 23.7708 
1 causal 3.36617 
1 causal 12.33892 
1 causal 7.291476 
1 causal 16.8858 
1 causal 14.70361 
1 causal 12.32369 
1 causal 34.39705 
1 causal 14.07747 
1 causal 9.029787 
1 causal 5.283911 
1 causal 32.06114 
1 causal 33.84199 
1 causal 31.77637 
1 causal 27.62742 
1 causal 19.67458 
1 causal 9.898815 
1 causal 19.50108 
1 causal 6.910336 
1 causal 15.50175 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 null 0 
2 causal 39.20019 
2 causal 54.92479 
2 causal 15.30512 
2 causal 13.95466 
2 causal 21.48388 
2 causal 39.47152 
2 causal 43.84723 
2 causal 35.99162 
2 causal 29.88871 
2 causal 27.74171 
2 causal 19.76146 
2 causal 1.6628 
2 causal 10.31136 
2 causal 27.24497 
2 causal 12.01772 
2 causal 31.76614 
2 causal 11.10285 
2 causal 30.13865 
2 causal 81.5078 
2 causal 10.21179 
2 causal 26.61978 
2 causal 39.85188 
2 causal 14.17353 
