S D F nsites True Predicted Value F1 
50 2 0.01 10000 0 1 2441 0.6495522 
50 2 0.02 10000 0 0 7559 0.7805332 
50 2 0.02 10000 1 1 7963 0.7805332 
50 2 0.02 10000 1 0 2037 0.7805332 
50 2 0.02 10000 0 1 2441 0.7805332 
50 2 0.025 10000 0 0 7559 0.8151429 
50 2 0.025 10000 1 1 8559 0.8151429 
50 2 0.025 10000 1 0 1441 0.8151429 
50 2 0.025 10000 0 1 2441 0.8151429 
50 2 0.05 10000 0 0 7559 0.8819089 
50 2 0.05 10000 1 1 9813 0.8819089 
50 2 0.05 10000 1 0 187 0.8819089 
50 2 0.05 10000 0 1 2441 0.8819089 
50 5 0 10000 0 0 9379 0.1104786 
50 5 0 10000 1 1 621 0.1104786 
50 5 0 10000 1 0 9379 0.1104786 
50 5 0 10000 0 1 621 0.1104786 
50 5 0.01 10000 0 0 9379 0.6976088 
50 5 0.01 10000 1 1 5689 0.6976088 
50 5 0.01 10000 1 0 4311 0.6976088 
50 5 0.01 10000 0 1 621 0.6976088 
50 5 0.02 10000 0 0 9379 0.8663678 
50 5 0.02 10000 1 1 8117 0.8663678 
50 5 0.02 10000 1 0 1883 0.8663678 
50 5 0.02 10000 0 1 621 0.8663678 
50 5 0.025 10000 0 0 9379 0.9031292 
50 5 0.025 10000 1 1 8745 0.9031292 
50 5 0.025 10000 1 0 1255 0.9031292 
50 5 0.025 10000 0 1 621 0.9031292 
50 5 0.05 10000 0 0 9379 0.9639565 
50 5 0.05 10000 1 1 9882 0.9639565 
50 5 0.05 10000 1 0 118 0.9639565 
50 5 0.05 10000 0 1 621 0.9639565 
