S D sites error reference estimation value 
20 2 100000 RMSE population MLE_(known) 0.02460563 
20 2 100000 RMSE population Expectation_(known) 0.0262212 
20 2 100000 bias sample MLE_(unknown) 0.001623223 
20 2 100000 bias sample MLE_(known) 0.00190375 
20 2 100000 bias sample Expectation_(known) 0.008179121 
20 2 100000 bias population MLE_(unknown) 0.000244761 
20 2 100000 bias population MLE_(known) 0.000525288 
20 2 100000 bias population Expectation_(known) 0.006800659 
20 5 100000 RMSE sample MLE_(unknown) 0.009261494 
20 5 100000 RMSE sample MLE_(known) 0.008017 
20 5 100000 RMSE sample Expectation_(known) 0.009401115 
20 5 100000 RMSE population MLE_(unknown) 0.02071174 
20 5 100000 RMSE population MLE_(known) 0.02115977 
20 5 100000 RMSE population Expectation_(known) 0.02104661 
20 5 100000 bias sample MLE_(unknown) 0.0004053473 
20 5 100000 bias sample MLE_(known) 0.0002045 
20 5 100000 bias sample Expectation_(known) 0.002022631 
20 5 100000 bias population MLE_(unknown) -0.0009064257 
20 5 100000 bias population MLE_(known) -0.001107273 
20 5 100000 bias population Expectation_(known) 0.0007108583 
20 10 100000 RMSE sample MLE_(unknown) 0.006361026 
20 10 100000 RMSE sample MLE_(known) 0.00479025 
20 10 100000 RMSE sample Expectation_(known) 0.005464068 
20 10 100000 RMSE population MLE_(unknown) 0.0195457 
20 10 100000 RMSE population MLE_(known) 0.01977334 
20 10 100000 RMSE population Expectation_(known) 0.01962768 
20 10 100000 bias sample MLE_(unknown) -0.0001090093 
20 10 100000 bias sample MLE_(known) -0.00039225 
20 10 100000 bias sample Expectation_(known) 0.0001430126 
20 10 100000 bias population MLE_(unknown) -0.001313353 
20 10 100000 bias population MLE_(known) -0.001596594 
20 10 100000 bias population Expectation_(known) -0.001061331 
50 0.1 99995 RMSE sample MLE_(unknown) 0.04082928 
50 0.1 99995 RMSE sample MLE_(known) 0.04092525 
50 0.1 99995 RMSE sample Expectation_(known) 0.08408283 
50 0.1 99995 RMSE population MLE_(unknown) 0.04266454 
50 0.1 99995 RMSE population MLE_(known) 0.04280305 
50 0.1 99995 RMSE population Expectation_(known) 0.08455122 
50 0.1 99995 bias sample MLE_(unknown) 0.00111282 
50 0.1 99995 bias sample MLE_(known) 0.001015451 
50 0.1 99995 bias sample Expectation_(known) 0.06754889 
50 0.1 99995 bias population MLE_(unknown) 0.0005116589 
50 0.1 99995 bias population MLE_(known) 0.0004142897 
50 0.1 99995 bias population Expectation_(known) 0.06694773 
50 0.5 100000 RMSE sample MLE_(unknown) 0.01943775 
50 0.5 100000 RMSE sample MLE_(known) 0.0194525 
50 0.5 100000 RMSE sample Expectation_(known) 0.02711585 
50 0.5 100000 RMSE population MLE_(unknown) 0.02283979 
50 0.5 100000 RMSE population MLE_(known) 0.02299046 
50 0.5 100000 RMSE population Expectation_(known) 0.02962513 
50 0.5 100000 bias sample MLE_(unknown) 0.002015145 
50 0.5 100000 bias sample MLE_(known) 0.0021349 
50 0.5 100000 bias sample Expectation_(known) 0.01536782 
50 0.5 100000 bias population MLE_(unknown) 0.001462848 
50 0.5 100000 bias population MLE_(known) 0.001582603 
50 0.5 100000 bias population Expectation_(known) 0.01481552 
50 1 100000 RMSE sample MLE_(unknown) 0.01357544 
50 1 100000 RMSE sample MLE_(known) 0.0136509 
50 1 100000 RMSE sample Expectation_(known) 0.01709105 
50 1 100000 RMSE population MLE_(unknown) 0.01810567 
50 1 100000 RMSE population MLE_(known) 0.01851198 
50 1 100000 RMSE population Expectation_(known) 0.02100943 
50 1 100000 bias sample MLE_(unknown) 0.0009823435 
50 1 100000 bias sample MLE_(known) 0.0013147 
50 1 100000 bias sample Expectation_(known) 0.007691197 
50 1 100000 bias population MLE_(unknown) 0.0004919465 
50 1 100000 bias population MLE_(known) 0.000824303 
50 1 100000 bias population Expectation_(known) 0.0072008 
50 2 100000 RMSE sample MLE_(unknown) 0.009533137 
50 2 100000 RMSE sample MLE_(known) 0.0094206 
50 2 100000 RMSE sample Expectation_(known) 0.01099307 
50 2 100000 RMSE population MLE_(unknown) 0.01531807 
50 2 100000 RMSE population MLE_(known) 0.01566454 
50 2 100000 RMSE population Expectation_(known) 0.0163034 
50 2 100000 bias sample MLE_(unknown) 0.0001585459 
50 2 100000 bias sample MLE_(known) 0.0002924 
50 2 100000 bias sample Expectation_(known) 0.003364484 
50 2 100000 bias population MLE_(unknown) -0.0003972511 
50 2 100000 bias population MLE_(known) -0.000263397 
50 2 100000 bias population Expectation_(known) 0.002808687 
50 5 100000 RMSE sample MLE_(unknown) 0.005920691 
50 5 100000 RMSE sample MLE_(known) 0.005493 
50 5 100000 RMSE sample Expectation_(known) 0.006090025 
50 5 100000 RMSE population MLE_(unknown) 0.01335741 
50 5 100000 RMSE population MLE_(known) 0.01354751 
50 5 100000 RMSE population Expectation_(known) 0.01345914 
50 5 100000 bias sample MLE_(unknown) -0.0004263266 
50 5 100000 bias sample MLE_(known) -0.0005008 
50 5 100000 bias sample Expectation_(known) 0.0005096673 
50 5 100000 bias population MLE_(unknown) -0.0009455266 
50 5 100000 bias population MLE_(known) -0.00102 
50 5 100000 bias population Expectation_(known) -9.532717e-06 
50 10 100000 RMSE sample MLE_(unknown) 0.004163306 
50 10 100000 RMSE sample MLE_(known) 0.0036465 
50 10 100000 RMSE sample Expectation_(known) 0.003915595 
50 10 100000 RMSE population MLE_(unknown) 0.01280002 
50 10 100000 RMSE population MLE_(known) 0.01292371 
50 10 100000 RMSE population Expectation_(known) 0.01283051 
50 10 100000 bias sample MLE_(unknown) -0.0006404064 
50 10 100000 bias sample MLE_(known) -0.0006687 
50 10 100000 bias sample Expectation_(known) -0.0003599328 
50 10 100000 bias population MLE_(unknown) -0.00108926 
50 10 100000 bias population MLE_(known) -0.001117554 
50 10 100000 bias population Expectation_(known) -0.0008087868 
100 0.1 100000 RMSE sample MLE_(unknown) 0.03015648 
100 0.1 100000 RMSE sample MLE_(known) 0.03018145 
100 0.1 100000 RMSE sample Expectation_(known) 0.05206083 
100 0.1 100000 RMSE population MLE_(unknown) 0.03141421 
100 0.1 100000 RMSE population MLE_(known) 0.03146666 
100 0.1 100000 RMSE population Expectation_(known) 0.05263815 
100 0.1 100000 bias sample MLE_(unknown) 0.002890732 
100 0.1 100000 bias sample MLE_(known) 0.00283995 
100 0.1 100000 bias sample Expectation_(known) 0.0377474 
100 0.1 100000 bias population MLE_(unknown) 0.002526418 
100 0.1 100000 bias population MLE_(known) 0.002475636 
100 0.1 100000 bias population Expectation_(known) 0.03738308 
100 0.5 100000 RMSE sample MLE_(unknown) 0.01371761 
100 0.5 100000 RMSE sample MLE_(known) 0.01370925 
100 0.5 100000 RMSE sample Expectation_(known) 0.01767025 
100 0.5 100000 RMSE population MLE_(unknown) 0.01603075 
100 0.5 100000 RMSE population MLE_(known) 0.01611798 
100 0.5 100000 RMSE population Expectation_(known) 0.01963667 
100 0.5 100000 bias sample MLE_(unknown) 0.0009338607 
100 0.5 100000 bias sample MLE_(known) 0.00096945 
100 0.5 100000 bias sample Expectation_(known) 0.008356772 
100 0.5 100000 bias population MLE_(unknown) 0.0006595967 
100 0.5 100000 bias population MLE_(known) 0.000695186 
100 0.5 100000 bias population Expectation_(known) 0.008082508 
100 1 100000 RMSE sample MLE_(unknown) 0.009606275 
100 1 100000 RMSE sample MLE_(known) 0.00957535 
100 1 100000 RMSE sample Expectation_(known) 0.01136392 
100 1 100000 RMSE population MLE_(unknown) 0.01278354 
100 1 100000 RMSE population MLE_(known) 0.01290161 
100 1 100000 RMSE population Expectation_(known) 0.01423176 
100 1 100000 bias sample MLE_(unknown) 8.299508e-05 
100 1 100000 bias sample MLE_(known) 0.00010725 
100 1 100000 bias sample Expectation_(known) 0.00388077 
100 1 100000 bias population MLE_(unknown) -0.0001427689 
100 1 100000 bias population MLE_(known) -0.000118514 
100 1 100000 bias population Expectation_(known) 0.003655006 
100 2 100000 RMSE sample MLE_(unknown) 0.006715425 
100 2 100000 RMSE sample MLE_(known) 0.00663535 
100 2 100000 RMSE sample Expectation_(known) 0.007401943 
100 2 100000 RMSE population MLE_(unknown) 0.01087401 
100 2 100000 RMSE population MLE_(known) 0.01101406 
100 2 100000 RMSE population Expectation_(known) 0.01130453 
100 2 100000 bias sample MLE_(unknown) -0.0004991735 
100 2 100000 bias sample MLE_(known) -0.00047945 
100 2 100000 bias sample Expectation_(known) 0.001337169 
100 2 100000 bias population MLE_(unknown) -0.0007176875 
100 2 100000 bias population MLE_(known) -0.000697964 
100 2 100000 bias population Expectation_(known) 0.001118655 
100 5 100000 RMSE sample MLE_(unknown) 0.004254467 
100 5 100000 RMSE sample MLE_(known) 0.004099 
100 5 100000 RMSE sample Expectation_(known) 0.00434905 
100 5 100000 RMSE population MLE_(unknown) 0.009597872 
100 5 100000 RMSE population MLE_(known) 0.009697573 
100 5 100000 RMSE population Expectation_(known) 0.009600178 
100 5 100000 bias sample MLE_(unknown) -0.0008078838 
100 5 100000 bias sample MLE_(known) -0.0008358 
100 5 100000 bias sample Expectation_(known) -0.0002215761 
100 5 100000 bias population MLE_(unknown) -0.001074789 
100 5 100000 bias population MLE_(known) -0.001102705 
100 5 100000 bias population Expectation_(known) -0.0004884811 
100 10 100000 RMSE sample MLE_(unknown) 0.003060502 
100 10 100000 RMSE sample MLE_(known) 0.0028774 
100 10 100000 RMSE sample Expectation_(known) 0.002978405 
100 10 100000 RMSE population MLE_(unknown) 0.009117417 
100 10 100000 RMSE population MLE_(known) 0.009191733 
100 10 100000 RMSE population Expectation_(known) 0.009115265 
100 10 100000 bias sample MLE_(unknown) -0.0009515494 
100 10 100000 bias sample MLE_(known) -0.000953 
100 10 100000 bias sample Expectation_(known) -0.0007513653 
100 10 100000 bias population MLE_(unknown) -0.001110136 
100 10 100000 bias population MLE_(known) -0.001111587 
100 10 100000 bias population Expectation_(known) -0.0009099523 
